1:1	سمو ءله رحم رحم
1:2	حمد ءله ربب علم
1:3	رحم رحم
1:4	ملک یوم دین
1:5	عبد عون
1:6	هدی صرط قوم
1:7	صرط نعم غیر غضب ضلل
2:1	NA
2:2	کتب ریب هدی وقی
2:3	ءمن غیب قوم صلو رزق نفق
2:4	ءمن نزل نزل قبل ءخر یقن
2:5	هدی ربب فلح
2:6	کفر سوو نذر نذر ءمن
2:7	ختم ءله قلب سمع بصر غشو عذب عظم
2:8	ءنس قول ءمن ءله یوم ءخر ءمن
2:9	خدع ءله ءمن خدع نفس شعر
2:10	قلب مرض زید ءله مرض عذب ءلم کون کذب
2:11	قول فسد ءرض قول صلح
2:12	فسد شعر
2:13	قول ءمن ءمن ءنس قول ءمن ءمن سفه سفه علم
2:14	لقی ءمن قول ءمن خلو شطن قول هزء
2:15	ءله هزء مدد طغی عمه
2:16	شری ضلل هدی ربح تجر کون هدی
2:17	مثل مثل وقد نور ضوء حول ذهب ءله نور ترک ظلم بصر
2:18	صمم بکم عمی رجع
2:19	صوب سمو ظلم رعد برق جعل صبع ءذن صعق حذر موت ءله حوط کفر
2:20	کود برق خطف بصر کلل ضوء مشی ظلم قوم شیء ءله ذهب سمع بصر ءله کلل شیء قدر
2:21	ءنس عبد ربب خلق قبل وقی
2:22	جعل ءرض فرش سمو بنی نزل سمو موه خرج ثمر رزق جعل ءله ندد علم
2:23	کون ریب نزل عبد ءتی سور مثل دعو شهد دون ءله کون صدق
2:24	فعل فعل وقی نور وقد ءنس حجر عدد کفر
2:25	بشر ءمن عمل صلح جنن جری تحت نهر کلل رزق ثمر رزق قول رزق قبل ءتی شبه زوج طهر خلد
2:26	ءله حیی ضرب مثل بعض فوق ءمن علم حقق ربب کفر قول ذوی رود ءله مثل ضلل کثر هدی کثر ضلل فسق
2:27	نقض عهد ءله بعد وثق قطع ءمر ءله وصل فسد ءرض خسر
2:28	کفر ءله کون موت حیی موت حیی رجع
2:29	خلق ءرض جمع سوو سمو سوو سبع سمو کلل شیء علم
2:30	قول ربب ملک جعل ءرض خلف قول جعل فسد سفک دمو سبح حمد قدس قول علم علم
2:31	علم ءدم سمو کلل عرض ملک قول نبء سمو کون صدق
2:32	قول سبح علم علم علم حکم
2:33	قول ءدم نبء سمو نبء سمو قول قول علم غیب سمو ءرض علم بدو کون کتم
2:34	قول ملک سجد ءدم سجد بلس ءبی کبر کون کفر
2:35	قول ءدم سکن زوج جنن ءکل رغد حیث شیء قرب شجر کون ظلم
2:36	زلل شطن خرج کون قول هبط بعض بعض عدو ءرض قرر متع حین
2:37	لقی ءدم ربب کلم توب توب رحم
2:38	قول هبط جمع ءتی هدی تبع هدی خوف حزن
2:39	کفر کذب ءیی صحب نور خلد
2:40	بنو ذکر نعم نعم وفی عهد وفی عهد رهب
2:41	ءمن نزل صدق کون ءول کفر شری ءیی ثمن قلل وقی
2:42	لبس حقق بطل کتم حقق علم
2:43	قوم صلو ءتی زکو رکع رکع
2:44	ءمر ءنس برر نسی نفس تلو کتب عقل
2:45	عون صبر صلو کبر خشع
2:46	ظنن لقی ربب رجع
2:47	بنو ذکر نعم نعم فضل علم
2:48	وقی یوم جزی نفس نفس شیء قبل شفع ءخذ عدل نصر
2:49	نجو ءول فرعن سوم سوء عذب ذبح بنو حیی نسو بلو ربب عظم
2:50	فرق بحر نجو غرق ءول فرعن نظر
2:51	وعد وسی ربع لیل ءخذ عجل بعد ظلم
2:52	عفو بعد شکر
2:53	ءتی وسی کتب فرق هدی
2:54	قول وسی قوم قوم ظلم نفس ءخذ عجل توب برء قتل نفس خیر عند برء توب توب رحم
2:55	قول وسی ءمن رءی ءله جهر ءخذ صعق نظر
2:56	بعث بعد موت شکر
2:57	ظلل غمم نزل منن سلو ءکل طیب رزق ظلم کون نفس ظلم
2:58	قول دخل قری ءکل حیث شیء رغد دخل بوب سجد قول حطط غفر خطء زید حسن
2:59	بدل ظلم قول غیر قول نزل ظلم رجز سمو کون فسق
2:60	سقی وسی قوم قول ضرب عصو حجر فجر ثنی عشر عین علم کلل ءنس شرب ءکل شرب رزق ءله عثو ءرض فسد
2:61	قول وسی صبر طعم وحد دعو ربب خرج نبت ءرض بقل قثء فوم عدس بصل قول بدل دنو خیر هبط مصر سءل ضرب ذلل سکن بوء غضب ءله کون کفر ءیی ءله قتل نبو غیر حقق عصی کون عدو
2:62	ءمن هود نصر صبء ءمن ءله یوم ءخر عمل صلح ءجر عند ربب خوف حزن
2:63	ءخذ وثق رفع فوق طور ءخذ ءتی قوی ذکر وقی
2:64	ولی بعد فضل ءله رحم کون خسر
2:65	علم عدو سبت قول کون قرد خسء
2:66	جعل نکل بین یدی خلف وعظ وقی
2:67	قول وسی قوم ءله ءمر ذبح بقر قول ءخذ هزء قول عوذ ءله کون جهل
2:68	قول دعو ربب بین قول قول بقر فرض بکر عون بین فعل ءمر
2:69	قول دعو ربب بین لون قول قول بقر صفر فقع لون سرر نظر
2:70	قول دعو ربب بین بقر شبه شیء ءله هدی
2:71	قول قول بقر ذلل ثور ءرض سقی حرث سلم وشی قول ءین جیء حقق ذبح کود فعل
2:72	قتل نفس درء ءله خرج کون کتم
2:73	قول ضرب بعض حیی ءله موت رءی ءیی عقل
2:74	قسو قلب بعد حجر شدد قسو حجر فجر نهر شقق خرج موه هبط خشی ءله ءله غفل عمل
2:75	طمع ءمن کون فرق سمع کلم ءله حرف بعد عقل علم
2:76	لقی ءمن قول ءمن خلو بعض بعض قول حدث فتح ءله حجج عند ربب عقل
2:77	علم ءله علم سرر علن
2:78	ءمم علم کتب منی ظنن
2:79	ویل کتب کتب یدی قول عند ءله شری ثمن قلل ویل کتب یدی ویل کسب
2:80	قول مسس نور یوم عدد قول ءخذ عند ءله عهد خلف ءله عهد قول ءله علم
2:81	کسب سوء حوط خطء صحب نور خلد
2:82	ءمن عمل صلح صحب جنن خلد
2:83	ءخذ وثق بنو عبد ءله ولد حسن ذوی قرب یتم سکن قول ءنس حسن قوم صلو ءتی زکو ولی قلل عرض
2:84	ءخذ وثق سفک دمو خرج نفس دور قرر شهد
2:85	قتل نفس خرج فرق دور ظهر ءثم عدو ءتی ءسر فدی حرم خرج ءمن بعض کتب کفر بعض جزی فعل خزی حیی دنو یوم قوم ردد شدد عذب ءله غفل عمل
2:86	شری حیی دنو ءخر خفف عذب نصر
2:87	ءتی وسی کتب قفو بعد رسل ءتی عیس بنو ریم بین ءید روح قدس کلل جیء رسل هوی نفس کبر فرق کذب فرق قتل
2:88	قول قلب غلف لعن ءله کفر قلل ءمن
2:89	جیء کتب عند ءله صدق کون قبل فتح کفر جیء عرف کفر لعن ءله کفر
2:90	بءس شری نفس کفر نزل ءله بغی نزل ءله فضل شیء عبد بوء غضب غضب کفر عذب هون
2:91	قول ءمن نزل ءله قول ءمن نزل کفر وری حقق صدق قول قتل نبو ءله قبل کون ءمن
2:92	جیء وسی بین ءخذ عجل بعد ظلم
2:93	ءخذ وثق رفع فوق طور ءخذ ءتی قوی سمع قول سمع عصی شرب قلب عجل کفر قول بءس ءمر ءمن کون ءمن
2:94	قول کون دور ءخر عند ءله خلص دون ءنس منی موت کون صدق
2:95	منی ءبد قدم یدی ءله علم ظلم
2:96	وجد حرص ءنس حیی شرک ودد وحد عمر ءلف سنو زحزح عذب عمر ءله بصر عمل
2:97	قول کون عدو نزل قلب ءذن ءله صدق بین یدی هدی بشر ءمن
2:98	کون عدو ءله ملک رسل ءله عدو کفر
2:99	نزل ءیی بین کفر فسق
2:100	کلل عهد عهد نبذ فرق کثر ءمن
2:101	جیء رسل عند ءله صدق نبذ فرق ءتی کتب کتب ءله وری ظهر علم
2:102	تبع تلو شطن ملک سلم کفر سلم شطن کفر علم ءنس سحر نزل ملک ببل هرت مرت علم وحد قول فتن کفر علم فرق بین مرء زوج ضرر وحد ءذن ءله علم ضرر نفع علم شری ءخر خلق بءس شری نفس کون علم
2:103	ءمن وقی ثوب عند ءله خیر کون علم
2:104	ءمن قول رعی قول نظر سمع کفر عذب ءلم
2:105	ودد کفر ءهل کتب شرک نزل خیر ربب ءله خصص رحم شیء ءله ذوی فضل عظم
2:106	نسخ ءیی نسی ءتی خیر مثل علم ءله کلل شیء قدر
2:107	علم ءله ملک سمو ءرض دون ءله ولی نصر
2:108	رود سءل رسل سءل وسی قبل بدل کفر ءمن ضلل سوو سبل
2:109	ودد کثر ءهل کتب ردد بعد ءمن کفر حسد عند نفس بعد بین حقق عفو صفح ءتی ءله ءمر ءله کلل شیء قدر
2:110	قوم صلو ءتی زکو قدم نفس خیر وجد عند ءله ءله عمل بصر
2:111	قول دخل جنن کون هود نصر منی قول هیت برهن کون صدق
2:112	سلم وجه ءله حسن ءجر عند ربب خوف حزن
2:113	قول هود لیس نصر شیء قول نصر لیس هود شیء تلو کتب قول علم مثل قول ءله حکم بین یوم قوم کون خلف
2:114	ظلم منع سجد ءله ذکر سمو سعی خرب کون دخل خوف دنو خزی ءخر عذب عظم
2:115	ءله شرق غرب ءین ولی وجه ءله ءله وسع علم
2:116	قول ءخذ ءله ولد سبح سمو ءرض کلل قنت
2:117	بدع سمو ءرض قضی ءمر قول کون کون
2:118	قول علم کلم ءله ءتی ءیی قول قبل مثل قول شبه قلب بین ءیی قوم یقن
2:119	رسل حقق بشر نذر سءل صحب جحم
2:120	رضو هود نصر تبع ملل قول هدی ءله هدی تبع هوی بعد جیء علم ءله ولی نصر
2:121	ءتی کتب تلو حقق تلو ءمن کفر خسر
2:122	بنو ذکر نعم نعم فضل علم
2:123	وقی یوم جزی نفس نفس شیء قبل عدل نفع شفع نصر
2:124	بلو برهم ربب کلم تمم قول جعل ءنس ءمم قول ذرر قول نیل عهد ظلم
2:125	جعل بیت ثوب ءنس ءمن ءخذ قوم برهم صلو عهد برهم طهر بیت طوف عکف رکع سجد
2:126	قول برهم ربب جعل بلد ءمن رزق ءهل ثمر ءمن ءله یوم ءخر قول کفر متع قلل ضرر عذب نور بءس صیر
2:127	رفع برهم قعد بیت ربب قبل سمع علم
2:128	ربب جعل سلم ذرر ءمم سلم رءی نسک توب توب رحم
2:129	ربب بعث رسل تلو ءیی علم کتب حکم زکو عزز حکم
2:130	رغب ملل برهم سفه نفس صفو دنو ءخر صلح
2:131	قول ربب سلم قول سلم ربب علم
2:132	وصی برهم بنو عقب بنو ءله صفو دین موت سلم
2:133	کون شهد حضر عقب موت قول بنو عبد بعد قول عبد ءله ءله ءبو برهم سحق ءله وحد سلم
2:134	ءمم خلو کسب کسب سءل کون عمل
2:135	قول کون هود نصر هدی قول ملل برهم حنف کون شرک
2:136	قول ءمن ءله نزل نزل برهم سحق عقب سبط ءتی وسی عیس ءتی نبو ربب فرق بین وحد سلم
2:137	ءمن مثل ءمن هدی ولی شقق کفی ءله سمع علم
2:138	صبغ ءله حسن ءله صبغ عبد
2:139	قول حجج ءله ربب ربب عمل عمل خلص
2:140	قول برهم سحق عقب سبط کون هود نصر قول علم ءله ظلم کتم شهد عند ءله ءله غفل عمل
2:141	ءمم خلو کسب کسب سءل کون عمل
2:142	قول سفه ءنس ولی قبل کون قول ءله شرق غرب هدی شیء صرط قوم
2:143	جعل ءمم وسط کون شهد ءنس کون رسل شهد جعل قبل کون علم تبع رسل قلب عقب کون کبر هدی ءله کون ءله ضیع ءمن ءله ءنس رءف رحم
2:144	رءی قلب وجه سمو ولی قبل رضو ولی وجه شطر سجد حرم حیث کون ولی وجه شطر ءتی کتب علم حقق ربب ءله غفل عمل
2:145	ءتی ءتی کتب کلل ءیی تبع قبل تبع قبل بعض تبع قبل بعض تبع هوی بعد جیء علم ظلم
2:146	ءتی کتب عرف عرف بنو فرق کتم حقق علم
2:147	حقق ربب کون مری
2:148	کلل وجه ولی سبق خیر ءین کون ءتی ءله جمع ءله کلل شیء قدر
2:149	حیث خرج ولی وجه شطر سجد حرم حقق ربب ءله غفل عمل
2:150	حیث خرج ولی وجه شطر سجد حرم حیث کون ولی وجه شطر کون ءنس حجج ظلم خشی خشی تمم نعم هدی
2:151	رسل رسل تلو ءیی زکو علم کتب حکم علم کون علم
2:152	ذکر ذکر شکر کفر
2:153	ءمن عون صبر صلو ءله صبر
2:154	قول قتل سبل ءله موت حیی شعر
2:155	بلو شیء خوف جوع نقص مول نفس ثمر بشر صبر
2:156	صوب صوب قول ءله رجع
2:157	صلو ربب رحم هدی
